IssuerName,SecurityId
Integra Engineering India Ltd.,INTEGRAEN.NS
Semac Construction Limited,SEMAC.NS
Texmaco Infrastructure & Holdings Ltd,TEXINFRA.NS
Wendt (India) Ltd.,WENDT.NS
PS IT Infrastructure & Services Limited,PSITINFRA.NS
GHV INFRA PROJECTS LIMITED,GHVINFRA.NS
Responsive Industries Ltd,RESPONIND.NS
Shyamkamal Investments Ltd.,SHYMINV.NS
HEM Holdings and Trading Ltd.,ZHEMHOLD.NS
Maharashtra Corporation Ltd.,MAHACORP.NS
DOLAT ALGOTECH LIMITED,DOLATALGO.NS
WESTLIFE FOODWORLD LIMITED,WESTLIFE.NS
Zee Entertainment Enterprises Ltd.,ZEEL.NS
Kovalam Inv. & Trading Co.Ltd.,ZKOVALIN.NS
SVP GLOBAL TEXTILES LIMITED,SVPGLOB.NS
Multiplus Holdings Ltd.,MULTIIN.NS
Skyline Millars Ltd,SKYLMILAR.NS
Bimetal Bearings Ltd,BIMETAL.NS
Taparia Tools Ltd.,TAPARIA.NS
Bharat Gears Ltd.,BHARATGEAR.NS
Brady & Morris Engineering Co. Ltd.,BRADYM.NS
La Tim Metal & Industries Limited,LATIMMETAL.NS
Elecon Engineering Co.Ltd.,ELECON.NS
Grauer & Weil (India) Ltd.,GRAUWEIL.NS
HIM TEKNOFORGE LIMITED,HIMTEK.NS
Gabriel India Ltd.,GABRIEL.NS
Hercules Hoists Ltd.,HERCULES.NS
ALGOQUANT FINTECH LIMITED,ALGOQUANT.NS
IFB Industries Limited,IFBIND.NS
Singer India Limited,SINGER.NS
International Combustion (India) Lt,INTLCOMBQ.NS
Federal-Mogul Goetze (India) Ltd,FMGOETZE.NS
Josts Engineering Co. Ltd.,JOSTS.NS
Schaeffler India Limited,SCHAEFFLER.NS
Rane Holdings Ltd.,RANEHOLDIN.NS
Rolcon Engineering Co. Ltd.,ROLCOEN.NS
SNL Bearings Ltd.,SNL.NS
Jaipan Industries Ltd,JAIPAN.NS
Mangal Credit and Fincorp Limited,MANCREDIT.NS
TRF Ltd,TRF.NS
WPIL Ltd,WPIL.NS
Kennametal India Limtied,KENNAMET.NS
HINDUSTAN HARDY LIMITED,HINDHARD.NS
Triton Valves Ltd.,TRITONV.NS
Sudal Industries Limited,SUDAI.NS
Prakash Industries Ltd.,PRAKASH.NS
HARIYANA VENTURES LIMITED,HVL.NS
Prabhu Steel Industries Ltd.,ZPRBHSTE.NS
Grindwell Norton Ltd.,GRINDWELL.NS
Lakshmi Precision Screws Ltd.,LAKPRE.NS
Stanrose Mafatlal Investments & Fin,STANROS.NS
Genesys International Corporation Ltd.,GENESYS.NS
Alna Trading & Exports Ltd.,ALNATRD.NS
Kairosoft AI Solutions Limited,VOLKAI.NS
Parnax Lab Limited,PARNAXLAB.NS
GOURMET GATEWAY INDIA LIMITED,GOURMET.NS
Visagar Polytex Ltd,VIVIDHA.NS
